"Library Name";"Library Type";"Library Language";"title";"originalTitle";"SeasonNames";"SeasonNumbers";"SeasonRatingKeys";"year";"tvdbid";"imdbid";"tmdbid";"ratingKey";"Path";"RootFoldername";"MultipleVersions";"PlexPosterUrl";"PlexBackgroundUrl";"PlexSeasonUrls"
"Movies";"movie";"en";"2 Fast 2 Furious";;;;;"2003";"20800";"tt0322259";"584";"41673";"/data/Movies/";"The Fast and The Furious";"False";"/library/metadata/41673/thumb/1728423071";"/library/metadata/41673/art/1728423071";
"Movies";"movie";"en";"6 Underground";;;;;"2019";"16304";"tt8106534";"509967";"56097";"/data/Movies/";"Six Underground (2019)";"False";"/library/metadata/56097/thumb/1728423073";;
"Movies";"movie";"en";"The 13th Warrior";;;;;"1999";"2131";"tt0120657";"1911";"15083";"/data/Movies/";"The 13th Warrior (1999)";"False";"/library/metadata/15083/thumb/1728423071";"/library/metadata/15083/art/1728423071";
"Movies";"movie";"en";"20,000 Leagues Under the Sea";;;;;"1954";"5592";"tt0046672";"173";"61517";"/data/Movies/";"20,000 Leagues Under the Sea (1954)";"False";"/library/metadata/61517/thumb/1728487730";"/library/metadata/61517/art/1728487730";
"Movies";"movie";"en";"21 Bridges";;;;;"2019";"22403";"tt8688634";"535292";"13931";"/data/Movies/";"21 Bridges (2019)";"False";"/library/metadata/13931/thumb/1728423072";"/library/metadata/13931/art/1728423072";
"Movies";"movie";"en";"21 Jump Street";;;;;"2012";"628";"tt1232829";"64688";"13936";"/data/Movies/";"21 Jump Street (2012)";"False";"/library/metadata/13936/thumb/1728423072";"/library/metadata/13936/art/1728423072";
"Movies";"movie";"en";"22 Jump Street";;;;;"2014";"735";"tt2294449";"187017";"13937";"/data/Movies/";"22 Jump Street (2014)";"False";"/library/metadata/13937/thumb/1728423072";"/library/metadata/13937/art/1728423072";
"Movies";"movie";"en";"25th Anniversary Studio Ghibli Concert";"久石譲 in 武道館 ~宮崎アニメと共に歩んだ25年間";;;;"2008";"33428";"tt4673554";"66943";"40700";"/data/Movies/";"Hisaishi Joe in Budoukan 2008";"False";"/library/metadata/40700/thumb/1728423072";"/library/metadata/40700/art/1728423072";
"Movies";"movie";"en";"28 Weeks Later";;;;;"2007";"835";"tt0463854";"1562";"61779";"/data/Movies/";"28 Weeks Later (2007)";"False";"/library/metadata/61779/thumb/1728488087";"/library/metadata/61779/art/1728488087";
"Movies";"movie";"en";"The 39 Steps";;;;;"2008";"35655";"tt1282016";"16877";"15218";"/data/Movies/";"The 39 Steps (2008)";"False";"/library/metadata/15218/thumb/1728423073";"/library/metadata/15218/art/1728423073";
"Movies";"movie";"en";"47 Ronin";;;;;"2013";"1535";"tt1335975";"64686";"13963";"/data/Movies/";"47 Ronin (2013)";"False";"/library/metadata/13963/thumb/1728423073";"/library/metadata/13963/art/1728423073";
"Movies";"movie";"en";"101 Dalmatians 2: Patch's London Adventure";"101 Dalmatians II: Patch's London Adventure";;;;"2002";"2070";"tt0324941";"13654";"55675";"/data/Movies/";"101 Dalmatians II Patch's London Adventure (2002)";"False";"/library/metadata/55675/thumb/1728423071";;
"Movies";"movie";"en";"102 Dalmatians";;;;;"2000";"5549";"tt0211181";"10481";"63683";"/data/Movies/";"102 Dalmatians (2000)";"False";"/library/metadata/63683/thumb/1728495366";"/library/metadata/63683/art/1728495366";
"Movies";"movie";"en";"200 Cigarettes";;;;;"1999";"12525";"tt0137338";"15256";"43711";"/data/Movies/";"200 Cigarettes (1999)";"False";"/library/metadata/43711/thumb/1728423071";"/library/metadata/43711/art/1728423071";
"Movies";"movie";"en";"300";;;;;"2007";"807";"tt0416449";"1271";"13944";"/data/Movies/";"300 (2007)";"False";"/library/metadata/13944/thumb/1728423073";"/library/metadata/13944/art/1728423073";
"Movies";"movie";"en";"1408";;;;;"2007";"1408";"tt0450385";"3021";"12389";"/data/Movies/";"1408 (2007)";"False";"/library/metadata/12389/thumb/1728423071";"/library/metadata/12389/art/1728423071";
"Movies";"movie";"en";"2012";;;;;"2009";"678";"tt1190080";"14161";"13919";"/data/Movies/";"2012 (2009)";"False";"/library/metadata/13919/thumb/1728423072";"/library/metadata/13919/art/1728423072";
"Movies";"movie";"en";"Abigail";;;;;"2024";"353024";"tt27489557";"1111873";"37863";"/data/Movies/";"Abigail (2024)";"False";"/library/metadata/37863/thumb/1728423073";"/library/metadata/37863/art/1728423073";
"Movies";"movie";"en";"Abominable";;;;;"2019";"12176";"tt6324278";"431580";"38040";"/data/Movies/";"Abominable (2019)";"False";"/library/metadata/38040/thumb/1728423073";"/library/metadata/38040/art/1728423073";
"Movies";"movie";"en";"The Abyss";;;;;"1989";"2273";"tt0096754";"2756";"15182";"/data/Movies/";"The Abyss (1989)";"False";"/library/metadata/15182/thumb/1728423073";"/library/metadata/15182/art/1728423073";
"Movies";"movie";"en";"The Addams Family";;;;;"2019";"63187";"tt1620981";"481084";"13507";"/data/Movies/";"The Addams Family (2019)";"False";"/library/metadata/13507/thumb/1728423074";"/library/metadata/13507/art/1728423074";
