"Library Name";"Library Type";"Library Language";"title";"originalTitle";"SeasonNames";"SeasonNumbers";"SeasonRatingKeys";"year";"tvdbid";"imdbid";"tmdbid";"ratingKey";"Path";"RootFoldername";"MultipleVersions";"PlexPosterUrl";"PlexBackgroundUrl";"PlexSeasonUrls"
"Movies";"movie";"en";"2 Fast 2 Furious";;;;;"2003";"20800";"tt0322259";"584";"41673";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/41673/thumb/1728225000";"/library/metadata/41673/art/1728225000";
"Movies";"movie";"en";"6 Underground";;;;;"2019";"16304";"tt8106534";"509967";"56097";"/data/Movies/";"Six Underground (2019)";"False";"/library/metadata/56097/thumb/1728225011";;
"Movies";"movie";"en";"The 13th Warrior";;;;;"1999";"2131";"tt0120657";"1911";"15083";"/data/Movies/";"The 13th Warrior (1999)";"False";"/library/metadata/15083/thumb/1728224997";"/library/metadata/15083/art/1728224997";
"Movies";"movie";"en";"21 Bridges";;;;;"2019";"22403";"tt8688634";"535292";"13931";"/data/Movies/";"21 Bridges (2019)";"False";"/library/metadata/13931/thumb/1728225003";"/library/metadata/13931/art/1728225003";
"Movies";"movie";"en";"21 Jump Street";;;;;"2012";"628";"tt1232829";"64688";"13936";"/data/Movies/";"21 Jump Street (2012)";"False";"/library/metadata/13936/thumb/1728225005";"/library/metadata/13936/art/1728225005";
"Movies";"movie";"en";"22 Jump Street";;;;;"2014";"735";"tt2294449";"187017";"13937";"/data/Movies/";"22 Jump Street (2014)";"False";"/library/metadata/13937/thumb/1728225006";"/library/metadata/13937/art/1728225006";
"Movies";"movie";"en";"25th Anniversary Studio Ghibli Concert";"久石譲 in 武道館 ~宮崎アニメと共に歩んだ25年間";;;;"2008";"33428";"tt4673554";"66943";"40700";"/data/Movies/";"11. Movies - Studio Ghibli";"False";"/library/metadata/40700/thumb/1728225006";"/library/metadata/40700/art/1728225006";
"Movies";"movie";"en";"28 Weeks Later";;;;;"2007";"835";"tt0463854";"1562";"39878";"/data/Movies/";"4. Movies - Horror";"False";"/library/metadata/39878/thumb/1728225007";"/library/metadata/39878/art/1728225007";
"Movies";"movie";"en";"The 39 Steps";;;;;"2008";"35655";"tt1282016";"16877";"15218";"/data/Movies/";"The 39 Steps (2008)";"False";"/library/metadata/15218/thumb/1728225009";"/library/metadata/15218/art/1728225009";
"Movies";"movie";"en";"47 Ronin";;;;;"2013";"1535";"tt1335975";"64686";"13963";"/data/Movies/";"47 Ronin (2013)";"False";"/library/metadata/13963/thumb/1728225010";"/library/metadata/13963/art/1728225010";
